inchikey,smiles,pIC50,n_records,molecule_chembl_id,mw,ic50_uM,ic50_ug_mL,cell_line
QTOGKYSPYZXMGH-UHFFFAOYSA-N,COc1cc(CC(O)c2ccoc2)cc(OC)c1OC,4.1399999760652255,1,CHEMBL430799,278.30400000000003,72.44360000000007,20.16134365440002,A549
QTPHGTXPZIVYIV-UHFFFAOYSA-N,CCOCNc1n[n+]([O-])c2ccccc2[n+]1[O-],5.183130476087468,2,CHEMBL1689485,236.23100000000002,6.559481686840822,1.5495529183640944,A549
QTPKCOWSACMINE-QFIPXVFZSA-N,COc1ccc(NC(=O)[C@H](Cc2ccc(OCC(=O)NO)cc2)NC(=O)c2ccccc2)cc1,4.619788758288394,1,CHEMBL1808272,463.49000000000007,24.000000000000018,11.12376000000001,A549
QTQAWLPCGQOSGP-KSRBKZBZSA-N,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,7.1938200260161125,1,CHEMBL278315,560.6440000000002,0.06400000000000006,0.03588121600000004,A549
QTTDGOHJJYZQSI-USFWFSLGSA-N,C#C[C@H](O)/C=C/CCCCCCC/C=C\CCCC/C=C\CCCCCCCCC/C=C/[C@@H](O)C#C,6.795880017344075,1,CHEMBL1801791,494.8040000000004,0.1600000000000001,0.07916864000000011,A549
QTTIMXAHYJGOHD-UHFFFAOYSA-N,O=C1C(=O)N(Cc2ccc(CN=C=S)cc2)c2c(Br)cc(Br)cc21,5.417936637088291,1,CHEMBL1834931,466.15400000000005,3.8200000000000056,1.7807082800000027,A549
QTVQJDFNGPGAPM-LVEAOLTQSA-N,COc1ccc(OC)c(C(=O)/C=C/c2ccc(OC/C=C/c3ccccc3)cc2)c1,4.400116927926312,1,CHEMBL243197,400.4740000000001,39.79999999999998,15.938865199999997,A549
QTWALDBMDCZWGX-GXDHUFHOSA-N,COc1cc(-c2ccc[nH]2)[nH]c1/C=C1\C(C)=Nc2ccc(C)cc21,4.844663962534939,1,CHEMBL203611,317.39200000000005,14.299999999999986,4.538705599999997,A549
QTWULMASGKOCHL-UHFFFAOYSA-N,O=C(Nc1ccccc1F)C(Cl)Cl,4.05784307153251,1,CHEMBL1240664,222.04599999999996,87.52999999999996,19.43568637999999,A549
QTXQNOWOARADNP-UHFFFAOYSA-N,CC(C)C1=C(Nc2ccc([N+](=O)[O-])cc2)c2ccccc2C(=O)C1=O,5.18111458540599,1,CHEMBL204454,336.3470000000001,6.589999999999997,2.2165267299999996,A549
QUAIWMYJXVBXCM-IFDXBLLESA-N,C=C(C)[C@@H]1CC[C@]2(C(=O)OCCCCCCO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.106349183014037,1,CHEMBL250722,572.8710000000002,78.27999999999997,44.84434188,A549
QUAPPCXFYKSDSV-LBPRGKRZSA-N,COc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccccc1)O2,4.42021640338319,1,CHEMBL253465,286.283,37.99999999999999,10.878753999999999,A549
QUBNLZCADIYAFW-RITZIESXSA-N,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,4.31725600755455,2,CHEMBL452911,604.825,48.16637831516917,29.132229764472196,A549
