rule,sample,conc_ppm,trial,replicate,abs_570,abs_blank_used,abs_control_used,viability_pct,cytotoxicity_pct
lab_outliers_removed,MBEE,200.0,1,R3,1.059,0.0665,1.3323333333333334,78.40684660961158,21.593153390388423
lab_outliers_removed,MBEE,100.0,1,R1,0.811,0.0665,1.3323333333333334,58.81500987491771,41.18499012508229
lab_outliers_removed,MBEE,100.0,1,R3,1.274,0.0665,1.3323333333333334,95.39170506912443,4.608294930875573
lab_outliers_removed,MBEE,50.0,1,R2,1.196,0.0665,1.3323333333333334,89.22975641869651,10.77024358130349
lab_outliers_removed,MBEE,50.0,1,R3,1.298,0.0665,1.3323333333333334,97.28768926925609,2.7123107307439085
lab_outliers_removed,MBEE,25.0,1,R1,1.206,0.0665,1.3323333333333334,90.01974983541803,9.980250164581975
lab_outliers_removed,MBEE,25.0,1,R3,1.317,0.0665,1.3323333333333334,98.78867676102698,1.2113232389730229
lab_outliers_removed,MBEE,12.5,1,R1,1.335,0.0665,1.3323333333333334,100.21066491112573,-0.2106649111257326
lab_outliers_removed,MBEE,12.5,1,R3,1.34,0.0665,1.3323333333333334,100.6056616194865,-0.6056616194864972
lab_outliers_removed,DOX,50.0,1,R2,0.501,0.0665,1.3323333333333334,34.32521395655036,65.67478604344964
lab_outliers_removed,DOX,50.0,1,R3,0.681,0.0665,1.3323333333333334,48.545095457537855,51.454904542462145
lab_outliers_removed,DOX,25.0,1,R1,0.921,0.0665,1.3323333333333334,67.50493745885451,32.49506254114549
lab_outliers_removed,DOX,25.0,1,R2,0.979,0.0665,1.3323333333333334,72.08689927583937,27.91310072416063
lab_outliers_removed,DOX,25.0,1,R3,0.896,0.0665,1.3323333333333334,65.52995391705069,34.47004608294931
lab_outliers_removed,DOX,12.5,1,R2,0.865,0.0665,1.3323333333333334,63.08097432521396,36.91902567478604
lab_outliers_removed,DOX,12.5,1,R3,0.877,0.0665,1.3323333333333334,64.02896642527979,35.97103357472021
lab_outliers_removed,DOX,6.2,1,R1,0.781,0.0665,1.3323333333333334,56.44502962475313,43.55497037524687
lab_outliers_removed,DOX,6.2,1,R2,1.25,0.0665,1.3323333333333334,93.49572086899276,6.504279131007237
lab_outliers_removed,DOX,6.2,1,R3,1.045,0.0665,1.3323333333333334,77.30085582620144,22.699144173798558
lab_outliers_removed,DOX,3.1,1,R1,1.417,0.0665,1.3323333333333334,106.68861092824227,-6.688610928242269
lab_outliers_removed,DOX,3.1,1,R2,1.181,0.0665,1.3323333333333334,88.04476629361422,11.955233706385783
lab_outliers_removed,NC,0.0,1,R1,1.242,0.0665,1.3323333333333334,92.86372613561554,7.136273864384464
lab_outliers_removed,NC,0.0,1,R2,1.382,0.0665,1.3323333333333334,103.92363396971692,-3.923633969716917
lab_outliers_removed,NC,0.0,1,R3,1.373,0.0665,1.3323333333333334,103.21263989466753,-3.2126398946675323
lab_outliers_removed,MBEE,400.0,2,R2,0.971,0.069,1.2206666666666666,78.32127351664255,21.67872648335745
lab_outliers_removed,MBEE,200.0,2,R2,1.231,0.069,1.2206666666666666,100.8972503617945,-0.8972503617945051
lab_outliers_removed,MBEE,100.0,2,R1,1.297,0.069,1.2206666666666666,106.62807525325616,-6.628075253256156
lab_outliers_removed,MBEE,50.0,2,R1,1.265,0.069,1.2206666666666666,103.84949348769898,-3.849493487698979
lab_outliers_removed,MBEE,50.0,2,R2,1.504,0.069,1.2206666666666666,124.60202604920407,-24.60202604920407
lab_outliers_removed,MBEE,25.0,2,R1,1.263,0.069,1.2206666666666666,103.67583212735167,-3.6758321273516685
lab_outliers_removed,MBEE,25.0,2,R2,1.674,0.069,1.2206666666666666,139.3632416787265,-39.363241678726496
lab_outliers_removed,MBEE,12.5,2,R2,1.707,0.069,1.2206666666666666,142.22865412445734,-42.228654124457336
lab_outliers_removed,DOX,50.0,2,R2,0.472,0.069,1.2206666666666666,34.99276410998552,65.00723589001447
lab_outliers_removed,DOX,50.0,2,R3,0.413,0.069,1.2206666666666666,29.869753979739507,70.1302460202605
lab_outliers_removed,DOX,25.0,2,R2,0.721,0.069,1.2206666666666666,56.6136034732272,43.3863965267728
lab_outliers_removed,DOX,12.5,2,R2,0.938,0.069,1.2206666666666666,75.45586107091172,24.544138929088277
lab_outliers_removed,DOX,12.5,2,R3,0.892,0.069,1.2206666666666666,71.4616497829233,28.538350217076697
lab_outliers_removed,DOX,6.2,2,R1,1.221,0.069,1.2206666666666666,100.0289435600579,-0.02894356005789689
lab_outliers_removed,DOX,3.1,2,R1,1.047,0.069,1.2206666666666666,84.92040520984081,15.079594790159192
lab_outliers_removed,NC,0.0,2,R1,1.166,0.069,1.2206666666666666,95.25325615050652,4.746743849493484
lab_outliers_removed,NC,0.0,2,R2,1.274,0.069,1.2206666666666666,104.63096960926195,-4.630969609261953
lab_outliers_removed,NC,0.0,2,R3,1.222,0.069,1.2206666666666666,100.11577424023154,-0.11577424023154492
